Date,Price,Open,High,Low,Vol.Change %,True Range,Max_Range,Min_Range,Simple Moving Average ,Del C,Output(3 Days)
15-12-2017,1.3321,1.3431,1.345,1.3302,-0.83%,0.0166000000000002,1.3552,1.3319,1.61009,-0.00910000000000011,1.3376
18-12-2017,1.3382,1.3328,1.342,1.331,0.46%,0.0166000000000002,1.3552,1.3304,1.611,0.00819999999999865,1.3385
19-12-2017,1.3385,1.3382,1.3403,1.3332,0.02%,0.0166000000000002,1.3552,1.3304,1.61018,0.0143000000000022,1.3362
20-12-2017,1.3376,1.3386,1.3422,1.3372,-0.07%,0.0166000000000002,1.3539,1.3304,1.60875,0.00929999999999964,1.3369
21-12-2017,1.3385,1.3376,1.3389,1.3331,0.07%,0.0166000000000002,1.3521,1.3302,1.60782,0.0102999999999973,1.3374
22-12-2017,1.3362,1.3386,1.3399,1.3349,-0.17%,0.0166000000000002,1.3521,1.3302,1.60679,0.00560000000000116,1.3397
25-12-2017,1.3369,1.3357,1.3396,1.3355,0.05%,0.0166000000000002,1.3521,1.3302,1.60623,0.00339999999999918,1.3443
26-12-2017,1.3374,1.3371,1.3391,1.3347,0.04%,0.0166000000000002,1.3521,1.3302,1.60589,0.0106000000000002,1.3515
27-12-2017,1.3397,1.3375,1.3431,1.3368,0.17%,0.0147999999999999,1.3463,1.3302,1.60483,0.00169999999999959,1.3503
28-12-2017,1.3443,1.3397,1.3458,1.3392,0.34%,0.0147999999999999,1.3463,1.3302,1.60466,-0.00579999999999714,1.3588
29-12-2017,1.3515,1.3444,1.3545,1.3428,0.54%,0.0147999999999999,1.3463,1.3302,1.60524,-0.0127000000000024,1.3516
01-01-2018,1.3503,1.3515,1.3522,1.3494,-0.09%,0.0147999999999999,1.3545,1.3302,1.60651,-0.00969999999999871,1.3553
02-01-2018,1.3588,1.3507,1.3602,1.35,0.63%,0.0147999999999999,1.3545,1.3302,1.60748,-0.00760000000000005,1.3571
03-01-2018,1.3516,1.3588,1.3614,1.3497,-0.53%,0.0117,1.3602,1.331,1.60824,-0.0259999999999998,1.3568
04-01-2018,1.3553,1.3515,1.3562,1.3505,0.27%,0.0117,1.3614,1.3331,1.61084,-0.013300000000001,1.354
05-01-2018,1.3571,1.3552,1.3583,1.3523,0.13%,0.0117,1.3614,1.3331,1.61217,-0.0166000000000004,1.3507
08-01-2018,1.3568,1.3572,1.3587,1.3523,-0.02%,0.0117,1.3614,1.3331,1.61383,-0.019599999999997,1.3538
09-01-2018,1.354,1.357,1.3583,1.3506,-0.21%,0.0117,1.3614,1.3347,1.61579,-0.0184000000000033,1.3729
10-01-2018,1.3507,1.3541,1.3564,1.3482,-0.24%,0.0117,1.3614,1.3347,1.61763,-0.0183999999999998,1.3792
11-01-2018,1.3538,1.3506,1.3556,1.3457,0.23%,0.0117,1.3614,1.3347,1.61947,-0.013499999999997,1.3793
12-01-2018,1.3729,1.3538,1.3743,1.3535,1.41%,0.0117,1.3614,1.3368,1.62082,-0.0163000000000011,1.3827
15-01-2018,1.3792,1.3731,1.3822,1.3723,0.46%,0.0208000000000002,1.3743,1.3392,1.62245,-0.0334000000000003,1.3893
16-01-2018,1.3793,1.3791,1.3806,1.374,0.01%,0.0208000000000002,1.3822,1.3428,1.62579,-0.0347000000000008,1.3852
17-01-2018,1.3827,1.3791,1.3944,1.3757,0.25%,0.0208000000000002,1.3822,1.3457,1.62926,-0.0275999999999996,1.3987
18-01-2018,1.3893,1.3831,1.3914,1.3805,0.48%,0.0208000000000002,1.3944,1.3457,1.63202,-0.0323999999999991,1.4001
19-01-2018,1.3852,1.3897,1.3947,1.384,-0.30%,0.0208000000000002,1.3944,1.3457,1.63526,-0.030899999999999,1.4243
22-01-2018,1.3987,1.3881,1.3993,1.3858,0.97%,0.0208000000000002,1.3947,1.3457,1.63835,-0.0366,1.4146
23-01-2018,1.4001,1.3989,1.4028,1.3916,0.10%,0.0208000000000002,1.3993,1.3457,1.64201,-0.0437000000000012,1.417
24-01-2018,1.4243,1.3999,1.4263,1.3997,1.73%,0.0208000000000002,1.4028,1.3457,1.64638,-0.0427,1.4075
25-01-2018,1.4146,1.4244,1.4345,1.4083,-0.68%,0.0266,1.4263,1.3457,1.65065,-0.0673999999999992,1.4146
26-01-2018,1.417,1.4147,1.4287,1.4109,0.17%,0.0266,1.4345,1.3457,1.65739,-0.0606000000000009,1.4192
29-01-2018,1.4075,1.4163,1.4163,1.4026,-0.67%,0.0266,1.4345,1.3457,1.66345,-0.0656999999999997,1.4265
30-01-2018,1.4146,1.4074,1.4166,1.3979,0.50%,0.0266,1.4345,1.3535,1.67002,-0.0535999999999994,1.4123
31-01-2018,1.4192,1.4148,1.4234,1.4121,0.33%,0.0266,1.4345,1.3723,1.67538,-0.0417000000000023,1.3959
01-02-2018,1.4265,1.4191,1.4278,1.4158,0.51%,0.0266,1.4345,1.374,1.67955,-0.0399999999999992,1.3948
02-02-2018,1.4123,1.4264,1.428,1.4102,-1.00%,0.0266,1.4345,1.3757,1.68355,-0.0472999999999999,1.3882
05-02-2018,1.3959,1.413,1.4151,1.3955,-1.16%,0.0266,1.4345,1.3805,1.68828,-0.0299000000000014,1.3914
06-02-2018,1.3948,1.396,1.4001,1.3836,-0.08%,0.0266,1.4345,1.384,1.69127,-0.00629999999999953,1.3838
07-02-2018,1.3882,1.3949,1.3994,1.3848,-0.47%,0.0266,1.4345,1.3858,1.6919,-0.00679999999999836,1.3838
08-02-2018,1.3914,1.3879,1.4067,1.3846,0.23%,0.0266,1.4345,1.3916,1.69258,0.0109999999999992,1.3892
09-02-2018,1.3838,1.3914,1.3989,1.3765,-0.55%,0.0266,1.4345,1.3955,1.69148,0.00849999999999795,1.3998
12-02-2018,1.3838,1.3827,1.3878,1.3797,0.00%,0.0262,1.4345,1.3836,1.69063,0.0417000000000023,1.4099
13-02-2018,1.3892,1.3837,1.3925,1.3832,0.39%,0.0224,1.4287,1.3836,1.68646,0.0309999999999988,1.4042
14-02-2018,1.3998,1.3894,1.4018,1.3799,0.76%,0.0224,1.428,1.3836,1.68336,0.0269000000000013,1.4005
15-02-2018,1.4099,1.4002,1.4105,1.399,0.72%,0.0224,1.428,1.3765,1.68067,0.00720000000000098,1.3996
16-02-2018,1.4042,1.41,1.4146,1.3998,-0.40%,0.0224,1.428,1.3765,1.67995,0.00479999999999947,1.3918
19-02-2018,1.4005,1.4034,1.4051,1.3958,-0.26%,0.0224,1.428,1.3765,1.67947,0.0156999999999989,1.3956
20-02-2018,1.3996,1.4005,1.4026,1.3931,-0.06%,0.0224,1.428,1.3765,1.6779,0.0259,1.3967
21-02-2018,1.3918,1.3996,1.4009,1.3905,-0.56%,0.0224,1.4151,1.3765,1.67531,0.0134000000000007,1.3967
22-02-2018,1.3956,1.3919,1.3988,1.3857,0.27%,0.0224,1.4146,1.3765,1.67397,0.0041000000000011,1.3909
23-02-2018,1.3967,1.3962,1.4007,1.3905,0.08%,0.0224,1.4146,1.3765,1.67356,-0.00130000000000052,1.376
26-02-2018,1.3967,1.3974,1.4071,1.3928,0.00%,0.0224,1.4146,1.3765,1.67369,-0.00950000000000273,1.3776
27-02-2018,1.3909,1.3967,1.3999,1.3858,-0.42%,0.0224,1.4146,1.3765,1.67464,-0.00529999999999831,1.3805
28-02-2018,1.376,1.3907,1.3916,1.3756,-1.07%,0.0219,1.4146,1.3797,1.67517,-0.00799999999999912,1.3849
01-03-2018,1.3776,1.3762,1.3786,1.3712,0.12%,0.0219,1.4146,1.3799,1.67597,0.00750000000000028,1.3887
02-03-2018,1.3805,1.3777,1.3819,1.3757,0.21%,0.0219,1.4146,1.3799,1.67522,0.0116999999999976,1.3901
05-03-2018,1.3849,1.3797,1.3877,1.3766,0.32%,0.016,1.4146,1.3857,1.67405,0.020500000000002,1.3812
06-03-2018,1.3887,1.385,1.3932,1.3817,0.27%,0.016,1.4146,1.3756,1.672,0.0249999999999986,1.3849
07-03-2018,1.3901,1.3887,1.3915,1.3846,0.10%,0.016,1.4071,1.3712,1.6695,0.0147000000000013,1.3905
08-03-2018,1.3812,1.39,1.3911,1.3782,-0.64%,0.016,1.4071,1.3712,1.66803,0.0105000000000004,1.3962
09-03-2018,1.3849,1.3811,1.389,1.3788,0.27%,0.016,1.4071,1.3712,1.66698,0.0184999999999995,1.3961
12-03-2018,1.3905,1.3852,1.3918,1.3839,0.40%,0.016,1.4071,1.3712,1.66513,0.0066999999999986,1.3938
13-03-2018,1.3962,1.3906,1.3997,1.3876,0.41%,0.016,1.4071,1.3712,1.66446,0.00560000000000116,1.3941
14-03-2018,1.3961,1.3961,1.3998,1.3926,-0.01%,0.016,1.4071,1.3712,1.6639,0.00130000000000052,1.4024
15-03-2018,1.3938,1.3962,1.3989,1.3921,-0.16%,0.016,1.3999,1.3712,1.66377,0.000499999999998835,1.3998
16-03-2018,1.3941,1.3936,1.3981,1.3886,0.02%,0.016,1.3998,1.3712,1.66372,-0.00290000000000035,1.4142
19-03-2018,1.4024,1.3931,1.4088,1.3911,0.60%,0.0128999999999999,1.3998,1.3712,1.66401,-0.0168999999999997,1.4096
20-03-2018,1.3998,1.4024,1.4067,1.3981,-0.19%,0.0177000000000001,1.4088,1.3757,1.6657,-0.0246999999999993,1.4134
21-03-2018,1.4142,1.3998,1.4152,1.3997,1.03%,0.0177000000000001,1.4088,1.3766,1.66817,-0.0200999999999993,1.4228
22-03-2018,1.4096,1.4141,1.4218,1.4076,-0.33%,0.0177000000000001,1.4152,1.3782,1.67018,-0.0290999999999997,1.4157
23-03-2018,1.4134,1.4096,1.4172,1.4084,0.27%,0.0177000000000001,1.4218,1.3782,1.67309,-0.020900000000001,1.4078
26-03-2018,1.4228,1.4142,1.4246,1.4132,0.67%,0.0177000000000001,1.4218,1.3782,1.67518,-0.0242000000000004,1.4017
